"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/23/2021","AQS","060990005","3","5.2","ug/m3 LC","29","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"03/24/2021","AQS","060990005","3","7.1","ug/m3 LC","39","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"03/25/2021","AQS","060990005","3","7.7","ug/m3 LC","43","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"03/26/2021","AQS","060990005","3","5.9","ug/m3 LC","33","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"03/27/2021","AQS","060990005","3","10.6","ug/m3 LC","54","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"03/28/2021","AQS","060990005","3","11.3","ug/m3 LC","55","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"03/29/2021","AQS","060990005","3","8.2","ug/m3 LC","46","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"03/30/2021","AQS","060990005","3","6.1","ug/m3 LC","34","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"03/31/2021","AQS","060990005","3","16.4","ug/m3 LC","65","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"04/01/2021","AQS","060990005","3","12.4","ug/m3 LC","57","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"04/02/2021","AQS","060990005","3","13.6","ug/m3 LC","59","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"04/03/2021","AQS","060990005","3","10.6","ug/m3 LC","54","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"04/04/2021","AQS","060990005","3","8.6","ug/m3 LC","48","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"04/05/2021","AQS","060990005","3","7.8","ug/m3 LC","43","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"04/06/2021","AQS","060990005","3","11","ug/m3 LC","55","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"04/07/2021","AQS","060990005","3","10.7","ug/m3 LC","54","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"04/08/2021","AQS","060990005","3","9.1","ug/m3 LC","51","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"04/09/2021","AQS","060990005","3","9.6","ug/m3 LC","52","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
